k,p,accuracy,time
10,1,75.625,0.20496535301208496
10,2,75.0,0.17637062072753906
10,3,75.41666666666667,0.2737257480621338
10,4,74.79166666666667,0.2624955177307129
10,5,75.0,0.23016810417175293
10,6,75.0,0.2790830135345459
10,7,75.20833333333333,0.24933385848999023
10,8,74.79166666666667,0.23987960815429688
10,9,74.58333333333333,0.30388808250427246
10,10,74.58333333333333,0.3060765266418457
11,1,80.0,0.17892956733703613
11,2,79.375,0.2295229434967041
11,3,78.95833333333333,0.2612137794494629
11,4,78.33333333333333,0.23281097412109375
11,5,78.54166666666667,0.2813444137573242
11,6,78.54166666666667,0.21843171119689941
11,7,78.54166666666667,0.20912528038024902
11,8,78.54166666666667,0.2723212242126465
11,9,78.95833333333333,0.2185802459716797
11,10,78.95833333333333,0.22000384330749512
12,1,76.875,0.19635510444641113
12,2,76.04166666666666,0.2149183750152588
12,3,76.25,0.21867942810058594
12,4,76.25,0.2095780372619629
12,5,76.04166666666666,0.23651766777038574
12,6,76.04166666666666,0.21773123741149902
12,7,76.04166666666666,0.23798012733459473
12,8,76.04166666666666,0.26455044746398926
12,9,76.45833333333333,0.2833981513977051
12,10,76.45833333333333,0.230377197265625
13,1,81.25,0.21577930450439453
13,2,79.58333333333333,0.2470242977142334
13,3,79.79166666666667,0.2337040901184082
13,4,80.20833333333334,0.2766144275665283
13,5,80.0,0.27068662643432617
13,6,80.20833333333334,0.23830699920654297
13,7,80.0,0.38262033462524414
13,8,80.0,0.2811553478240967
13,9,80.0,0.23299074172973633
13,10,80.0,0.312467098236084
14,1,78.75,0.25600266456604004
14,2,78.75,0.1648104190826416
14,3,77.5,0.21092605590820312
14,4,77.70833333333333,0.22281193733215332
14,5,77.70833333333333,0.2748417854309082
14,6,77.70833333333333,0.20958781242370605
14,7,77.91666666666667,0.23690509796142578
14,8,77.91666666666667,0.24574661254882812
14,9,77.70833333333333,0.22392821311950684
14,10,77.70833333333333,0.23705673217773438
15,1,81.04166666666667,0.1737363338470459
15,2,81.66666666666667,0.15562129020690918
15,3,80.0,0.2656865119934082
15,4,80.83333333333333,0.22195816040039062
15,5,80.83333333333333,0.23166394233703613
15,6,80.83333333333333,0.312894344329834
15,7,80.41666666666667,0.26476526260375977
15,8,80.41666666666667,0.2747213840484619
15,9,80.41666666666667,0.2925901412963867
